username,event_timestamp,event_name,platform,status,ip_address,description,direct_privileges,effective_privileges,inheritance_chain,analyst_context,confidence_level
stephen.gutierrez,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
stephen.gutierrez,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 170 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins -> GG-Sales-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 170 days but holds admin privilege,Medium
jody.jacobs,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access -> GG-Sales-Staff -> GG-Sales-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
jody.jacobs,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 850 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 850 days,Medium
luis.acosta,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS",GG-Finance-Staff,"GG-Finance-Staff, GG-SAP-Users, GG-ReadOnly-FS -> GG-Finance-Staff -> GG-Finance-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
cameron.fisher,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins -> GG-HR-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
cameron.fisher,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
cameron.fisher,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 137 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins -> GG-HR-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 137 days but holds admin privilege,Medium
mary.bass,2026-06-20 08:00:00,Threat Alert: Dormant Admin Role Change,Active Directory,Warning,0.0.0.0,"Admin inactive 105 days, with a role change on 2024-05-28. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.. Remediation guidance: Confirm with HR/manager whether this is an active transition; if not, revoke admin access [MITRE: AC-2 - Account Management (dormancy review)].","GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins","Active threat rule triggered: RULE_7. detail: Admin inactive 105 days, with a role change on 2024-05-28. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",Medium
mary.bass,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 105 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 105 days but holds admin privilege,Medium
leonard.holland,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 779 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 779 days,Medium
ann.phillips,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
natasha.wall,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
peter.dds,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 804 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,"arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/AWSBillingReadOnlyAccess",arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 804 days,Medium
james.howard,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 240 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 240 days but holds admin privilege,Medium
victoria.evans,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-HR-Staff, GG-HRIS-Access",GG-HR-Staff,"GG-HR-Staff, GG-HRIS-Access -> GG-HR-Staff -> GG-HR-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
david.scott,2026-06-20 08:00:00,Threat Alert: Inherited Admin,Active Directory,Warning,0.0.0.0,Effective admin through nested group: GG-Domain-Admins. Remediation guidance: Flatten group hierarchy or remove from GG-Domain-Admins [MITRE: T1098 - Account Manipulation].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk",GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins (Inherited)",Active threat rule triggered: RULE_4. detail: Effective admin through nested group: GG-Domain-Admins,Medium
matthew.hoover,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 620 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 620 days,Medium
frank.lopez,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,Okta,Alert,0.0.0.0,Active on Okta after termination. Remediation guidance: Immediately disable accounts on: Okta [MITRE: T1078 - Valid Accounts].,"GitHub Enterprise, AWS SSO, Jira, Slack, Confluence",GitHub Enterprise,Direct Assignment,Active threat rule triggered: RULE_1. detail: Active on Okta after termination,High
marc.lynch,2026-06-20 08:00:00,Threat Alert: Stale Token,AWS IAM,Warning,0.0.0.0,AWS API key not rotated in 736 days. Remediation guidance: Rotate AWS access key immediately [MITRE: T1550 - Use Alternate Authentication Material].,arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,Active threat rule triggered: RULE_5. detail: AWS API key not rotated in 736 days,Medium
marc.lynch,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
marc.lynch,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 311 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 311 days but holds admin privilege,Medium
jeremiah.lopez,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 230 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 230 days but holds admin privilege,Medium
anthony.carter,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access -> GG-Sales-Staff -> GG-Sales-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
veronica.wall,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,AWS IAM,Alert,0.0.0.0,"Active on AWS, Okta after termination. Remediation guidance: Immediately disable accounts on: AWS, Okta [MITRE: T1078 - Valid Accounts].","arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Direct Assignment,"Active threat rule triggered: RULE_1. detail: Active on AWS, Okta after termination",High
nathan.stewart,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,AWS IAM,Alert,0.0.0.0,Active on AWS after termination. Remediation guidance: Immediately disable accounts on: AWS [MITRE: T1078 - Valid Accounts].,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_1. detail: Active on AWS after termination,High
mrs..gibson,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 237 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins",GG-Domain-Admins,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins -> GG-Legal-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 237 days but holds admin privilege,Medium
javier.ramirez,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 233 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk",GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins (Inherited)",Active threat rule triggered: RULE_2. detail: No login in 233 days but holds admin privilege,Medium
jeremy.scott,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 93 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-Sales-Staff, GG-CRM-Access, GG-Domain-Admins -> GG-Sales-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 93 days but holds admin privilege,Medium
javier.ramirez,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,AWS IAM,Alert,0.0.0.0,"Active on AWS, Okta after termination. Remediation guidance: Immediately disable accounts on: AWS, Okta [MITRE: T1078 - Valid Accounts].","arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Direct Assignment,"Active threat rule triggered: RULE_1. detail: Active on AWS, Okta after termination",High
alfred.galvan,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
james.brooks,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 144 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins",GG-Domain-Admins,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins -> GG-Legal-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 144 days but holds admin privilege,Medium
james.brooks,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
james.brooks,2026-06-20 08:00:00,Threat Alert: Dormant Admin Role Change,Active Directory,Warning,0.0.0.0,"Admin inactive 144 days, with a role change on 2025-06-01. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.. Remediation guidance: Confirm with HR/manager whether this is an active transition; if not, revoke admin access [MITRE: AC-2 - Account Management (dormancy review)].","GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins",GG-Domain-Admins,"GG-Legal-Staff, GG-DLP-Policy, GG-Domain-Admins -> GG-Legal-Staff -> GG-Domain-Admins","Active threat rule triggered: RULE_7. detail: Admin inactive 144 days, with a role change on 2025-06-01. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",Medium
kaylee.hays,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,AWS IAM,Alert,0.0.0.0,Active on AWS after termination. Remediation guidance: Immediately disable accounts on: AWS [MITRE: T1078 - Valid Accounts].,"arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess, arn:aws:iam::aws:policy/AmazonS3ReadOnlyAccess, arn:aws:iam::aws:policy/CloudWatchLogsReadOnlyAccess",arn:aws:iam::aws:policy/AmazonEC2ReadOnlyAccess,Direct Assignment,Active threat rule triggered: RULE_1. detail: Active on AWS after termination,High
robert.kim,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 243 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 243 days but holds admin privilege,Medium
robert.kim,2026-06-20 08:00:00,Threat Alert: Dormant Admin Role Change,Active Directory,Warning,0.0.0.0,"Admin inactive 243 days, with a role change on 2024-11-07. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.. Remediation guidance: Confirm with HR/manager whether this is an active transition; if not, revoke admin access [MITRE: AC-2 - Account Management (dormancy review)].","GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins","Active threat rule triggered: RULE_7. detail: Admin inactive 243 days, with a role change on 2024-11-07. Could be a legitimate transition (e.g. new role pending access setup) or a stale account riding on an unrelated HR update.",Medium
jessica.fowler,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 115 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-Dev-Staff, GG-Git-Users, GG-VPN-Access, GG-Domain-Admins -> GG-Dev-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 115 days but holds admin privilege,Medium
jessica.fowler,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
keith.jacobs,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 142 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 142 days but holds admin privilege,Medium
keith.jacobs,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
ernest.ramirez,2026-06-20 08:00:00,Threat Alert: Inherited Admin,Active Directory,Warning,0.0.0.0,Effective admin through nested group: GG-Domain-Admins. Remediation guidance: Flatten group hierarchy or remove from GG-Domain-Admins [MITRE: T1098 - Account Manipulation].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk",GG-Domain-Admins (Inherited),"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins (Inherited)",Active threat rule triggered: RULE_4. detail: Effective admin through nested group: GG-Domain-Admins,Medium
catherine.burch,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
timothy.perez,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
timothy.perez,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins -> GG-HR-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
kathryn.jackson,2026-06-20 08:00:00,Threat Alert: Offboarding Gap,Okta,Alert,0.0.0.0,Active on Okta after termination. Remediation guidance: Immediately disable accounts on: Okta [MITRE: T1078 - Valid Accounts].,"Workday, Slack, ServiceNow, BambooHR",Workday,Direct Assignment,Active threat rule triggered: RULE_1. detail: Active on Okta after termination,High
travis.wise,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 267 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins",GG-Domain-Admins,"GG-IT-Staff, GG-Infra-Ops, GG-ServiceDesk, GG-Domain-Admins -> GG-Infra-Ops, GG-Domain-Admins -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 267 days but holds admin privilege,Medium
travis.wise,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
david.martinez,2026-06-20 08:00:00,Threat Alert: Privilege Escalation,Active Directory,Alert,0.0.0.0,1 privilege escalation events detected in audit log. Remediation guidance: Review and revert all recent privilege changes [MITRE: T1098 - Account Manipulation].,"GG-Sales-Staff, GG-CRM-Access",GG-Sales-Staff,"GG-Sales-Staff, GG-CRM-Access -> GG-Sales-Staff -> GG-Sales-Staff",Active threat rule triggered: RULE_6. detail: 1 privilege escalation events detected in audit log,High
andrew.reeves,2026-06-20 08:00:00,Threat Alert: Dormant Admin,Active Directory,Warning,0.0.0.0,No login in 159 days but holds admin privilege. Remediation guidance: Revoke admin privileges or force re-certification [MITRE: T1078 - Valid Accounts].,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins",GG-Domain-Admins,"GG-HR-Staff, GG-HRIS-Access, GG-Domain-Admins -> GG-HR-Staff -> GG-Domain-Admins",Active threat rule triggered: RULE_2. detail: No login in 159 days but holds admin privilege,Medium
andrew.reeves,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
william.stevenson,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
mikayla.silva,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
melody.lee,2026-06-20 08:00:00,Threat Alert: Cross Platform Admin,AWS IAM,Warning,0.0.0.0,"Holds admin on AD, AWS simultaneously, with no recorded business justification. Remediation guidance: Review and reduce admin scope on AD, AWS [MITRE: T1098 - Account Manipulation].",arn:aws:iam::aws:policy/AdministratorAccess,arn:aws:iam::aws:policy/AdministratorAccess,Direct Assignment,"Active threat rule triggered: RULE_3. detail: Holds admin on AD, AWS simultaneously, with no recorded business justification",Medium
